scheme,sliced_wasserstein_roi
A,0.0677202311197309
A,0.0512571312727882
A,0.0825360201145325
A,0.0928465620240587
A,0.1218166770264441
A,0.0568068612288923
A,0.086781864090414
A,0.2454543831505498
B,0.0720342457467034
B,0.0575117555540308
B,0.0616561147787388
B,0.0532413234810308
B,0.1505923722028356
B,0.1163538349954837
B,0.0531192209860664
B,0.0669977473093939
B,0.1044793512915036
B,0.278715397710354
C,0.0729834771528793
C,0.0481866468673458
C,0.0584196027164557
C,0.0495535219753631
C,0.0583584216998571
C,0.1512341954738763
C,0.1025107765951884
C,0.0530530648602412
C,0.0620045538891885
C,0.0806401416064973
C,0.1062715026632633
C,0.2668046417965883
D,0.0935203745523199
D,0.0484522023924093
D,0.090674377045492
D,0.0880863783112586
D,0.1195903003946381
D,0.0574116046592257
D,0.0944692435286329
D,0.2739646210543267
E,0.0770367343636447
E,0.047961797984076
E,0.0658621354111966
E,0.0771786162355602
E,0.1054947597363125
E,0.0577848553165871
E,0.0706635234954732
E,0.2614003735303551
F,0.0663089490562217
F,0.0572529382001811
F,0.0469804332744099
F,0.0994280033984546
F,0.1179577984516894
F,0.0607910884406904
F,0.0847848154700214
F,0.2669563690375829
