subtype,sample_id,time_index,coord1,coord2
0,0,0,10.874027252197266,11.203768730163574
0,0,1,10.935093879699709,11.20157241821289
0,0,2,10.995603561401367,11.19891357421875
0,0,3,11.055667877197266,11.195826530456545
0,0,4,11.115396499633787,11.192346572875977
0,0,5,11.174901962280272,11.18851089477539
0,0,6,11.234296798706056,11.18435764312744
0,0,7,11.293693542480469,11.179925918579102
0,0,8,11.353203773498535,11.175256729125977
0,0,9,11.412938117980955,11.170391082763672
0,0,10,11.473007202148438,11.16537094116211
0,0,11,11.533517837524414,11.160238265991213
0,0,12,11.594575881958008,11.155035972595217
0,0,13,11.65628433227539,11.14980697631836
0,0,14,11.718740463256836,11.144593238830566
0,0,15,11.782039642333984,11.139436721801758
0,0,16,11.846269607543944,11.13437843322754
0,0,17,11.911514282226562,11.129459381103516
0,0,18,11.977849006652832,11.124719619750977
0,0,19,12.04534149169922,11.120196342468262
0,0,20,12.114051818847656,11.115925788879396
0,0,21,12.184030532836914,11.11194133758545
0,0,22,12.255318641662598,11.108275413513184
0,0,23,12.3279447555542,11.104957580566406
0,0,24,12.401927947998049,11.102012634277344
0,0,25,12.477275848388672,11.099464416503906
0,0,26,12.553983688354492,11.097332000732422
0,0,27,12.632034301757812,11.095630645751951
0,0,28,12.711400032043455,11.094372749328612
0,0,29,12.792041778564451,11.093564987182615
0,0,30,12.873908996582031,11.093212127685549
0,0,31,12.95694351196289,11.093313217163086
0,0,32,13.041075706481934,11.093865394592283
0,0,33,13.12623119354248,11.094860076904297
0,0,34,13.212325096130373,11.09628677368164
0,0,35,13.299271583557127,11.098130226135254
0,0,36,13.38697910308838,11.100374221801758
0,0,37,13.475354194641112,11.102999687194824
0,0,38,13.564303398132324,11.105984687805176
0,0,39,13.653733253479004,11.109307289123535
0,0,40,13.74355125427246,11.112942695617676
0,0,41,13.83366870880127,11.116866111755373
0,0,42,13.92400074005127,11.121053695678713
0,0,43,14.014466285705566,11.125479698181152
0,0,44,14.10499095916748,11.130121231079102
0,0,45,14.195505142211914,11.134953498840332
0,0,46,14.285945892333984,11.139954566955566
0,0,47,14.37625789642334,11.145103454589844
0,0,48,14.466391563415527,11.15038013458252
0,0,49,14.556303024291992,11.155765533447266
0,0,50,14.645956993103027,11.161242485046388
0,0,51,14.73532485961914,11.16679573059082
0,0,52,14.824381828308104,11.172411918640137
0,0,53,14.913111686706545,11.178077697753906
0,0,54,15.001502990722656,11.183781623840332
0,0,55,15.08954906463623,11.18951416015625
0,0,56,15.177249908447266,11.195266723632812
0,0,57,15.264608383178713,11.201030731201172
0,0,58,15.351633071899414,11.20680046081543
0,0,59,15.438335418701172,11.212569236755373
0,0,60,15.524730682373049,11.21833324432373
0,0,61,15.61083984375,11.22408676147461
0,0,62,15.696682929992676,11.22982692718506
0,0,63,15.782285690307615,11.235548973083496
0,0,64,15.867673873901367,11.241250991821287
0,0,65,15.95287799835205,11.246929168701172
0,0,66,16.037927627563477,11.252581596374512
0,0,67,16.12285614013672,11.258204460144045
0,0,68,16.207698822021484,11.263795852661133
0,0,69,16.292490005493164,11.269352912902832
0,0,70,16.37726593017578,11.274871826171877
0,0,71,16.46206283569336,11.280350685119627
0,0,72,16.546920776367188,11.285786628723145
0,0,73,16.631879806518555,11.291175842285156
0,0,74,16.716978073120117,11.296515464782717
0,0,75,16.802255630493164,11.301800727844238
0,0,76,16.887752532958984,11.307028770446776
0,0,77,16.9735107421875,11.31219482421875
0,0,78,17.0595703125,11.31729507446289
0,0,79,17.145971298217773,11.322325706481934
0,0,80,17.232755661010742,11.32728099822998
0,0,81,17.319963455200195,11.33215618133545
0,0,82,17.407634735107422,11.336947441101074
0,0,83,17.495811462402344,11.34164810180664
0,0,84,17.584531784057617,11.346254348754885
0,0,85,17.673837661743164,11.350760459899902
0,0,86,17.763765335083008,11.355161666870115
0,0,87,17.854354858398438,11.359452247619627
0,0,88,17.945642471313477,11.363627433776855
0,0,89,18.03766632080078,11.367681503295898
0,0,90,18.130460739135746,11.371610641479492
