subtype,time_index,coord1,coord2
0,0,7.67225980758667,10.94873046875
0,1,10.874027252197266,11.203768730163574
0,2,10.935093879699709,11.20157241821289
0,3,10.995603561401367,11.19891357421875
0,4,11.055667877197266,11.195826530456545
0,5,11.115396499633787,11.192346572875977
0,6,11.174901962280272,11.18851089477539
0,7,11.234296798706056,11.18435764312744
0,8,11.293693542480469,11.179925918579102
0,9,11.353203773498535,11.175256729125977
0,10,11.412938117980955,11.170391082763672
0,11,11.473007202148438,11.16537094116211
0,12,11.533517837524414,11.160238265991213
0,13,11.594575881958008,11.155035972595217
0,14,11.65628433227539,11.14980697631836
0,15,11.718740463256836,11.144593238830566
0,16,11.782039642333984,11.139436721801758
0,17,11.846269607543944,11.13437843322754
0,18,11.911514282226562,11.129459381103516
0,19,11.977849006652832,11.124719619750977
0,20,12.04534149169922,11.120196342468262
0,21,12.114051818847656,11.115925788879396
0,22,12.184030532836914,11.11194133758545
0,23,12.255318641662598,11.108275413513184
0,24,12.3279447555542,11.104957580566406
0,25,12.401927947998049,11.102012634277344
0,26,12.477275848388672,11.099464416503906
0,27,12.553983688354492,11.097332000732422
0,28,12.632034301757812,11.095630645751951
0,29,12.711400032043455,11.094372749328612
0,30,12.792041778564451,11.093564987182615
0,31,12.873908996582031,11.093212127685549
0,32,12.95694351196289,11.093313217163086
0,33,13.041075706481934,11.093865394592283
0,34,13.12623119354248,11.094860076904297
0,35,13.212326049804688,11.09628677368164
0,36,13.299272537231444,11.098130226135254
0,37,13.386980056762695,11.100374221801758
0,38,13.47535514831543,11.102999687194824
0,39,13.56430435180664,11.105984687805176
0,40,13.65373420715332,11.109307289123535
0,41,13.743552207946776,11.112942695617676
0,42,13.833669662475586,11.116866111755373
0,43,13.924001693725586,11.121053695678713
0,44,14.014467239379885,11.125479698181152
0,45,14.104991912841797,11.130121231079102
0,46,14.19550609588623,11.134953498840332
0,47,14.2859468460083,11.139954566955566
0,48,14.376258850097656,11.145103454589844
0,49,14.466392517089844,11.150379180908203
0,50,14.556303977966309,11.15576457977295
0,51,14.64595890045166,11.16124153137207
0,52,14.735326766967772,11.166794776916504
0,53,14.824383735656738,11.17241096496582
0,54,14.913113594055176,11.17807674407959
0,55,15.001504898071287,11.183780670166016
0,56,15.089550971984863,11.189513206481934
0,57,15.177251815795898,11.195265769958496
0,58,15.264610290527344,11.201029777526855
0,59,15.351634979248049,11.206799507141112
0,60,15.438337326049805,11.212568283081056
0,61,15.52473258972168,11.218332290649414
0,62,15.610841751098633,11.224085807800291
0,63,15.696684837341309,11.229825973510742
0,64,15.78228759765625,11.23554801940918
0,65,15.86767578125,11.241250038146973
0,66,15.952879905700684,11.246928215026855
0,67,16.03792953491211,11.25257968902588
0,68,16.12285804748535,11.25820255279541
0,69,16.207700729370117,11.2637939453125
0,70,16.292491912841797,11.2693510055542
0,71,16.377267837524414,11.274869918823242
0,72,16.462064743041992,11.280348777770996
0,73,16.54692268371582,11.285784721374512
0,74,16.631881713867188,11.291173934936523
0,75,16.71697998046875,11.296513557434082
0,76,16.802257537841797,11.301798820495604
0,77,16.887754440307617,11.307026863098145
0,78,16.973512649536133,11.312192916870115
0,79,17.059572219848633,11.317293167114258
0,80,17.145973205566406,11.3223237991333
0,81,17.232757568359375,11.327279090881348
0,82,17.319965362548828,11.332154273986816
0,83,17.407636642456055,11.33694553375244
0,84,17.495813369750977,11.341646194458008
0,85,17.58453369140625,11.34625244140625
0,86,17.673839569091797,11.35075855255127
0,87,17.76376724243164,11.355159759521484
0,88,17.85435676574707,11.359450340270996
0,89,17.94564437866211,11.363625526428224
0,90,18.03766822814941,11.367679595947266
0,91,18.13046264648437,11.37160873413086
0,92,18.22406578063965,11.375407218933104
0,93,18.318506240844727,11.379071235656738
0,94,18.413820266723636,11.382596015930176
0,95,18.51003646850586,11.385978698730469
0,96,18.60718536376953,11.389214515686035
0,97,18.705291748046875,11.392300605773926
0,98,18.804386138916016,11.395234107971191
0,99,18.90448760986328,11.398012161254885
0,100,19.0056209564209,11.400633811950684
0,101,19.10780143737793,11.40309715270996
0,102,19.211050033569336,11.405401229858398
0,103,19.315378189086918,11.407546043395996
0,104,19.420801162719727,11.409531593322754
0,105,19.527324676513672,11.411359786987305
0,106,19.63495635986328,11.413030624389648
0,107,19.743698120117188,11.414546966552734
0,108,19.853551864624023,11.415911674499512
0,109,19.964509963989254,11.417128562927246
0,110,20.076570510864254,11.418200492858888
0,111,20.189720153808597,11.419132232666016
0,112,20.30394744873047,11.419928550720217
0,113,20.419233322143555,11.420595169067385
0,114,20.53556060791016,11.421138763427734
0,115,20.65290069580078,11.421564102172852
0,116,20.77123069763184,11.421878814697266
0,117,20.89051818847656,11.422088623046877
0,118,21.01073265075684,11.422202110290527
0,119,21.13183212280273,11.42222499847412
0,120,21.253782272338867,11.422164916992188
1,0,7.67225980758667,10.94873046875
1,1,10.277613639831545,11.712824821472168
