scheme,rmse_followup
A,0.1348268592867102
A,0.0547225713365645
A,0.0810381338915971
A,0.0720720471766282
A,0.0759697175153214
A,0.041138544809719
A,0.0479913816533994
A,0.0620929550444391
A,0.0532366809040023
A,0.2342683046724246
A,0.0869932277224999
A,0.0900630874886221
A,0.1631769648087414
A,0.0922623647984474
A,0.0673797722804097
A,0.0656978519837769
A,0.1098578748261592
A,0.0549050721153949
A,0.0872773573519234
A,0.1221773303860168
A,0.0857992173388281
A,0.0588479865954242
A,0.1091320868317341
A,0.3366619227742796
A,0.0664218734828564
A,0.0619224704806451
A,0.0758904597642768
A,0.0422804221515381
A,0.0466709705783087
A,0.0539894540087553
A,0.0540603800853114
A,0.0675070073814333
A,0.0609379300774904
A,0.0554183589267904
A,0.0513147165064198
A,0.1290369753398053
A,0.0470712839934957
A,0.1019840693769565
A,0.0582473989334743
A,0.0594882817627558
A,0.0899522766815856
A,0.090800304543451
A,0.1390730494732622
A,0.1763742183903711
A,0.0590539553692055
A,0.078447388151327
A,0.1433142522106746
A,0.1063574104453158
A,0.0634360834161488
A,0.1492634822202488
A,0.091269105194786
A,0.1795902395796093
A,0.085917655058669
A,0.0602428396052755
A,0.1373145869887215
A,0.0698416672347687
A,0.1075311955276277
A,0.0454200813879093
A,0.0454936108531101
A,0.0681175507340699
A,0.08656838514495
A,0.0761766814432654
A,0.0579011194561608
A,0.1381590324072933
A,0.2123816376668442
A,0.148620084049
A,0.1227873712766557
A,0.0580785881842209
A,0.0790788011365048
A,0.0341398134649233
A,0.0645082292179932
A,0.0713892699656891
A,0.127345176938762
A,0.0575160717945683
A,0.0669737677039889
A,0.0686906315061908
A,0.0903264120256676
A,0.0433279744899369
A,0.0569334568570958
A,0.07475570358123
A,0.1115235831474067
A,0.1829420743354476
A,0.0478806587538203
A,0.1449708506000744
A,0.0507789841851596
A,0.0469063636895462
A,0.0729973621562085
A,0.1992661955208383
A,0.0802295500584866
A,0.071641350730798
A,0.0617577711613328
A,0.1155922662609473
A,0.1642754723134347
A,0.0549120582499188
A,0.0933347551214031
A,0.1057860707353697
A,0.1614442981985434
A,0.0988125567885425
A,0.0992254379637175
A,0.1180553150485814
A,0.0450600533422081
A,0.0973650096271444
A,0.0717019652697878
A,0.0429161779550579
A,0.0442988093474212
A,0.0671928939847185
A,0.1064690998065431
A,0.0621537268087057
A,0.1185313480919613
A,0.055321685915399
A,0.070932659629472
A,0.2985978705337329
A,0.1261202404500355
A,0.1265919785964133
A,0.0582483003840789
A,0.1273994867560671
A,0.0423695657911651
A,0.0432525010414595
A,0.0777922190517835
A,0.0469763389692202
A,0.0676171617272882
A,0.0564135242312991
A,0.0736955773493202
A,0.0551325830650321
A,0.0531664473172399
A,0.0887291972723475
A,0.098029805370249
