branch_subtype,time_index,umap1_mean,umap2_mean
0,0,7.68836498260498,11.059337615966797
0,1,7.796728610992432,11.097806930541992
0,2,8.007892608642578,11.105093955993652
0,3,8.08582592010498,11.170022010803224
0,4,8.351357460021973,11.15981674194336
0,5,8.469745635986328,11.176440238952637
0,6,8.585880279541016,11.238775253295898
0,7,8.710718154907227,11.237001419067385
0,8,8.795388221740723,11.231410026550291
0,9,8.916857719421387,11.239945411682127
0,10,9.129054069519045,11.28636074066162
0,11,9.227112770080566,11.255453109741213
0,12,9.336953163146973,11.219023704528809
0,13,9.448929786682127,11.207199096679688
0,14,9.542243957519531,11.217696189880373
0,15,9.70632553100586,11.225196838378906
0,16,9.79615306854248,11.23200511932373
0,17,9.888845443725586,11.294146537780762
0,18,9.95708179473877,11.307626724243164
0,19,10.119911193847656,11.270207405090332
0,20,10.228554725646973,11.295921325683594
0,21,10.379735946655272,11.286373138427734
0,22,10.56057071685791,11.271842002868652
0,23,10.709269523620604,11.29351043701172
0,24,10.798934936523438,11.265162467956545
0,25,10.86776638031006,11.24907684326172
0,26,10.940681457519531,11.2225923538208
0,27,11.023463249206545,11.202399253845217
0,28,11.088512420654297,11.16104221343994
0,29,11.119038581848145,11.166824340820312
0,30,11.16276741027832,11.185178756713867
0,31,11.231856346130373,11.171756744384766
0,32,11.34000301361084,11.100909233093262
0,33,11.40723991394043,11.115610122680664
0,34,11.420619010925291,11.097455024719238
0,35,11.530770301818848,11.10848903656006
0,36,11.611249923706056,11.102294921875
0,37,11.670839309692385,11.134262084960938
0,38,11.693220138549805,11.120508193969728
0,39,11.725743293762209,11.135882377624512
0,40,11.785240173339844,11.157291412353516
0,41,11.873546600341797,11.195363998413086
0,42,11.948923110961914,11.190435409545898
0,43,12.05981159210205,11.18256950378418
0,44,12.199110984802246,11.151979446411133
0,45,12.255566596984863,11.132192611694336
0,46,12.332449913024902,11.111659049987791
0,47,12.38677215576172,11.10923194885254
0,48,12.48457145690918,11.084118843078612
0,49,12.54761791229248,11.088953971862791
0,50,12.645798683166504,11.089884757995604
0,51,12.726593017578123,11.091391563415527
0,52,12.802374839782717,11.072662353515623
0,53,12.910444259643556,11.093154907226562
0,54,12.99779224395752,11.065402030944824
0,55,13.096324920654297,11.08274745941162
0,56,13.235884666442873,11.101593017578123
0,57,13.369837760925291,11.07364559173584
0,58,13.47563648223877,11.083836555480955
0,59,13.580677032470703,11.079119682312012
0,60,13.733004570007324,11.072305679321287
0,61,13.890520095825195,11.128790855407717
0,62,14.034767150878906,11.148111343383787
0,63,14.187731742858888,11.158024787902832
0,64,14.33028507232666,11.16462516784668
0,65,14.411412239074709,11.151272773742676
0,66,14.565289497375488,11.134936332702637
0,67,14.687029838562012,11.13995361328125
0,68,14.775012016296388,11.150467872619627
0,69,14.91102695465088,11.129281044006348
0,70,15.011820793151855,11.102065086364746
0,71,15.161910057067873,11.10179042816162
0,72,15.264986038208008,11.10264492034912
0,73,15.382851600646973,11.098206520080566
0,74,15.480355262756348,11.08708953857422
0,75,15.573708534240724,11.08534812927246
0,76,15.672788619995115,11.089881896972656
0,77,15.765493392944336,11.120283126831056
0,78,15.864803314208984,11.13083553314209
0,79,15.964070320129396,11.135082244873049
0,80,16.116348266601562,11.163167953491213
0,81,16.244056701660156,11.17977237701416
0,82,16.366025924682617,11.200231552124023
0,83,16.4538516998291,11.206995964050291
0,84,16.559185028076172,11.214193344116213
0,85,16.617677688598633,11.224092483520508
0,86,16.69648551940918,11.228370666503906
0,87,16.813241958618164,11.234399795532228
0,88,16.910568237304688,11.231074333190918
0,89,16.981277465820312,11.23382568359375
0,90,17.096078872680664,11.244851112365724
0,91,17.1561336517334,11.25406265258789
0,92,17.23805046081543,11.274863243103027
0,93,17.361703872680664,11.349883079528809
0,94,17.472888946533203,11.367511749267578
0,95,17.546537399291992,11.383212089538574
0,96,17.655675888061523,11.371413230895996
0,97,17.771072387695312,11.395465850830078
0,98,17.87018585205078,11.419392585754396
0,99,17.95096206665039,11.414717674255373
0,100,18.023632049560547,11.423480033874512
0,101,18.157215118408203,11.440749168395996
0,102,18.259410858154297,11.443211555480955
0,103,18.352022171020508,11.458066940307615
0,104,18.4921989440918,11.45802879333496
0,105,18.63050651550293,11.471858024597168
0,106,18.7372989654541,11.48428440093994
0,107,18.847522735595703,11.486835479736328
0,108,18.98609733581543,11.519436836242676
0,109,19.11283493041992,11.542126655578612
0,110,19.24752616882324,11.549973487854004
0,111,19.3825798034668,11.537020683288574
0,112,19.49022674560547,11.551239967346191
0,113,19.618724822998047,11.574135780334473
0,114,19.75822257995605,11.576065063476562
0,115,19.977970123291016,11.58259105682373
0,116,20.137046813964844,11.596480369567873
0,117,20.27539825439453,11.584030151367188
0,118,20.408174514770508,11.585747718811035
0,119,20.545673370361328,11.617571830749512
1,0,7.68836498260498,11.059337615966797
1,1,7.759469032287598,11.099645614624023
1,2,7.889125347137451,11.157978057861328
1,3,8.029642105102539,11.196393966674805
1,4,8.234046936035156,11.172799110412598
1,5,8.269041061401367,11.2308349609375
1,6,8.361212730407715,11.253921508789062
1,7,8.513806343078613,11.285372734069824
1,8,8.617846488952637,11.29524040222168
1,9,8.713547706604004,11.33927059173584
1,10,8.904902458190918,11.31546688079834
1,11,8.941433906555176,11.387370109558104
1,12,9.023143768310549,11.396299362182615
1,13,9.18082046508789,11.448973655700684
1,14,9.260418891906738,11.470907211303713
1,15,9.340214729309082,11.49123764038086
1,16,9.453147888183594,11.538093566894531
1,17,9.534470558166504,11.55440616607666
1,18,9.606080055236816,11.565664291381836
1,19,9.6881685256958,11.559353828430176
1,20,9.79038429260254,11.59043788909912
1,21,9.875903129577637,11.575020790100098
1,22,9.926901817321776,11.586298942565918
