map_name,CTX_LH_BANKSSTS_SUVR,CTX_LH_CAUDALANTERIORCINGULATE_SUVR,CTX_LH_CAUDALMIDDLEFRONTAL_SUVR,CTX_LH_CUNEUS_SUVR,CTX_LH_ENTORHINAL_SUVR,CTX_LH_FUSIFORM_SUVR,CTX_LH_INFERIORPARIETAL_SUVR,CTX_LH_INFERIORTEMPORAL_SUVR,CTX_LH_ISTHMUSCINGULATE_SUVR,CTX_LH_LATERALOCCIPITAL_SUVR,CTX_LH_LATERALORBITOFRONTAL_SUVR,CTX_LH_LINGUAL_SUVR,CTX_LH_MEDIALORBITOFRONTAL_SUVR,CTX_LH_MIDDLETEMPORAL_SUVR,CTX_LH_PARAHIPPOCAMPAL_SUVR,CTX_LH_PARACENTRAL_SUVR,CTX_LH_PARSOPERCULARIS_SUVR,CTX_LH_PARSORBITALIS_SUVR,CTX_LH_PARSTRIANGULARIS_SUVR,CTX_LH_PERICALCARINE_SUVR,CTX_LH_POSTCENTRAL_SUVR,CTX_LH_POSTERIORCINGULATE_SUVR,CTX_LH_PRECENTRAL_SUVR,CTX_LH_PRECUNEUS_SUVR,CTX_LH_ROSTRALANTERIORCINGULATE_SUVR,CTX_LH_ROSTRALMIDDLEFRONTAL_SUVR,CTX_LH_SUPERIORFRONTAL_SUVR,CTX_LH_SUPERIORPARIETAL_SUVR,CTX_LH_SUPERIORTEMPORAL_SUVR,CTX_LH_SUPRAMARGINAL_SUVR,CTX_LH_FRONTALPOLE_SUVR,CTX_LH_TEMPORALPOLE_SUVR,CTX_LH_TRANSVERSETEMPORAL_SUVR,CTX_LH_INSULA_SUVR
subtype1_stage2,1.2253666666666667,1.1663333333333334,1.08495,1.0662666666666667,0.8816666666666665,1.0427833333333334,1.0312166666666664,1.0137666666666665,1.1407833333333337,1.0169,1.11905,1.0235166666666666,1.0422333333333331,0.9712833333333332,0.9318166666666668,1.1038333333333334,1.0726166666666666,0.9997,1.0824333333333334,1.2133833333333337,0.9953,1.144283333333333,1.0797833333333335,1.0906,1.0959,1.0363166666666666,1.0131500000000002,0.9941166666666668,0.9889166666666668,1.0327166666666667,0.85425,0.9054833333333332,1.0722999999999998,1.0547333333333335
subtype1_stage4,1.229883720930233,1.1818372093023255,1.093279069767442,1.0819767441860464,0.8906976744186046,1.0413488372093025,1.0620697674418609,1.031186046511628,1.154,1.049441860465116,1.1348372093023256,1.0165348837209305,1.0600232558139533,1.0005348837209302,0.9428604651162792,1.1173488372093023,1.0910930232558138,1.0298372093023254,1.109139534883721,1.203953488372093,1.0089302325581393,1.1588372093023256,1.0926976744186048,1.1095813953488374,1.1257906976744183,1.0679767441860468,1.0321627906976745,1.0256511627906977,1.0017441860465115,1.0532093023255813,0.8827674418604651,0.906906976744186,1.092093023255814,1.0653255813953488
subtype1_stage6,1.2318222222222224,1.2143555555555554,1.1316222222222223,1.0730444444444442,0.8776,1.0523555555555557,1.0854,1.0505777777777776,1.1702444444444444,1.047088888888889,1.1434000000000002,1.0248888888888887,1.0658444444444444,0.9970444444444442,0.9596888888888888,1.157844444444445,1.1156888888888887,1.0529555555555556,1.1411111111111112,1.2124,1.0386444444444445,1.2192444444444444,1.1166444444444446,1.1430888888888893,1.146,1.1019777777777775,1.0722444444444443,1.0583555555555555,0.9972222222222222,1.0839111111111113,0.8868444444444444,0.9070666666666666,1.0597777777777777,1.0627333333333333
subtype1_stage8,1.3255666666666668,1.2602,1.1553666666666669,1.0570666666666666,0.8986666666666668,1.0875333333333332,1.1242666666666667,1.0935999999999997,1.2191333333333334,1.0232666666666668,1.1917,1.0291333333333337,1.1235666666666666,1.0375333333333334,0.9988333333333334,1.1420333333333337,1.1478,1.087,1.1626000000000003,1.2041,1.0148333333333333,1.2602333333333335,1.0911666666666666,1.2211666666666667,1.1901333333333337,1.1421,1.1135,1.0677,1.040933333333333,1.1083333333333334,0.9168333333333334,0.9147666666666668,1.090566666666667,1.0865333333333334
subtype1_stage10,1.325030303030303,1.3005454545454544,1.2097575757575758,1.0893636363636363,0.9323636363636364,1.0954545454545457,1.160909090909091,1.0993939393939391,1.2783939393939394,1.075090909090909,1.2253939393939397,1.0272424242424243,1.1603636363636365,1.070969696969697,1.0196969696969695,1.1813939393939392,1.2024848484848485,1.153757575757576,1.222,1.2203333333333333,1.06,1.3213333333333332,1.1463333333333336,1.2628181818181818,1.2373939393939393,1.1977575757575758,1.147848484848485,1.1032424242424244,1.0786666666666669,1.162121212121212,1.0172121212121217,0.9563333333333336,1.1258181818181818,1.109242424242424
subtype1_stage12,1.377,1.343125,1.2122916666666663,1.12175,0.937625,1.1175,1.1873333333333334,1.1275416666666669,1.3024583333333333,1.09575,1.239875,1.054875,1.1700416666666666,1.112375,1.0035,1.194625,1.2007916666666667,1.1637083333333331,1.2353333333333334,1.237375,1.0816666666666668,1.3279166666666666,1.143875,1.3082083333333334,1.2637083333333334,1.210041666666667,1.167375,1.135625,1.0911666666666666,1.19425,1.001,0.9743333333333334,1.153625,1.139708333333333
subtype1_stage14,1.3822857142857143,1.353095238095238,1.2676666666666665,1.109,0.9042380952380952,1.1371904761904763,1.2132380952380954,1.149952380952381,1.320761904761905,1.113095238095238,1.282,1.0706666666666669,1.235428571428571,1.1157619047619045,1.0121428571428572,1.231666666666667,1.250095238095238,1.215142857142857,1.2956666666666667,1.2393809523809525,1.0814761904761905,1.3833809523809524,1.1619523809523808,1.3247619047619048,1.314095238095238,1.290047619047619,1.2326666666666664,1.133142857142857,1.094142857142857,1.1814761904761906,1.0657142857142856,0.959380952380952,1.1316666666666666,1.1334285714285717
subtype1_stage16,1.4056923076923076,1.368307692307692,1.276923076923077,1.0703076923076922,0.9011538461538462,1.127846153846154,1.2082307692307692,1.1466153846153846,1.2890769230769232,1.0696153846153846,1.303846153846154,1.0589230769230769,1.2805384615384614,1.1449999999999998,1.0081538461538462,1.1796153846153845,1.2796923076923077,1.2195384615384617,1.2788461538461535,1.223923076923077,1.087,1.3119999999999998,1.1406923076923077,1.2965384615384612,1.3473846153846152,1.2963846153846157,1.2230769230769232,1.125846153846154,1.1643846153846154,1.2076923076923076,1.051923076923077,0.9586153846153846,1.2426923076923075,1.1831538461538462
subtype1_stage18,1.3754444444444442,1.355888888888889,1.2578888888888888,1.0546666666666666,0.9101111111111112,1.1232222222222223,1.2024444444444444,1.2071111111111112,1.2853333333333332,1.0425555555555557,1.3372222222222223,1.0228888888888887,1.3142222222222222,1.1526666666666667,0.9956666666666664,1.207888888888889,1.2354444444444443,1.2493333333333334,1.246222222222222,1.186,1.0638888888888889,1.3774444444444445,1.132777777777778,1.3443333333333334,1.3662222222222224,1.298111111111111,1.2261111111111112,1.1523333333333332,1.118,1.2003333333333337,1.133888888888889,0.974111111111111,1.167,1.1814444444444443
subtype1_stage20,1.461441176470588,1.4226470588235294,1.319823529411765,1.076941176470588,0.9259411764705882,1.1708823529411765,1.2456764705882353,1.2082647058823532,1.3647352941176472,1.0262352941176471,1.3919117647058823,1.0295882352941177,1.3394117647058823,1.1788235294117646,1.032029411764706,1.238411764705882,1.3301764705882353,1.261882352941177,1.3338823529411763,1.1968235294117646,1.0956176470588237,1.4298235294117647,1.175823529411765,1.382558823529412,1.419235294117647,1.351970588235294,1.2942352941176472,1.1702647058823528,1.1626176470588236,1.2674705882352943,1.0875588235294116,1.0238823529411762,1.208029411764706,1.2255588235294117
