subtype,time_index,umap1_mean,umap2_mean
1,26,-3.863080978,0.2921417058
1,27,-3.948038578,0.2531017065
1,28,-4.046001434,0.2337149978
1,29,-4.137336731,0.1758294553
1,30,-4.234946251,0.1270040125
1,31,-4.336261749,0.07781364769
1,32,-4.376606941,0.05925179273
1,33,-4.506820679,0.02076657116
1,34,-4.627594471,-0.006840025075
1,35,-4.703528404,-0.07252022624
1,36,-4.767755032,-0.1272283942
1,37,-4.847990036,-0.1656625271
1,38,-4.94002676,-0.1879120469
1,39,-4.973428726,-0.2118351758
1,40,-5.077196121,-0.2566194832
1,41,-5.156352997,-0.2784062922
1,42,-5.218440056,-0.2821471989
1,43,-5.233737469,-0.3061209917
1,44,-5.313249111,-0.3151013255
1,45,-5.34479332,-0.3269467056
1,46,-5.418233871,-0.3680365086
1,47,-5.457641125,-0.3906950951
1,48,-5.505153179,-0.4094618857
1,49,-5.543551445,-0.4426077008
1,50,-5.592187405,-0.4755770862
1,51,-5.653438568,-0.4973930418
1,52,-5.648323059,-0.4933108985
1,53,-5.734429836,-0.5706951618
1,54,-5.804177284,-0.6236025691
1,55,-5.885287285,-0.6530439854
1,56,-5.912081242,-0.6979583502
1,57,-5.990136147,-0.7449962497
1,58,-5.995901585,-0.7766900063
1,59,-6.022088051,-0.8047394156
1,60,-6.074178696,-0.8586856127
1,61,-6.096193314,-0.8740715981
1,62,-6.109067917,-0.8878081441
1,63,-6.116904259,-0.9099206924
1,64,-6.096657276,-0.9452519417
1,65,-6.10035181,-0.9659926891
1,66,-6.072397709,-0.975846827
1,67,-6.091323853,-1.063658476
1,68,-6.089708328,-1.084508419
1,69,-6.129349232,-1.186360121
1,70,-6.195917606,-1.286342025
1,71,-6.177367687,-1.307968497
1,72,-6.177250862,-1.303069472
1,73,-6.23513031,-1.364281416
1,74,-6.274898529,-1.429089427
1,75,-6.25168848,-1.460327625
1,76,-6.381291866,-1.587857127
1,77,-6.386888504,-1.64357841
1,78,-6.418227673,-1.698040724
1,79,-6.539539337,-1.821823478
1,80,-6.544826031,-1.87425673
1,81,-6.589046955,-1.990997791
1,82,-6.659479141,-2.057982206
1,83,-6.723218918,-2.106317759
1,84,-6.772531986,-2.177827597
1,85,-6.870729923,-2.247014999
1,86,-6.956048965,-2.322530031
1,87,-7.068884373,-2.371908426
1,88,-7.222355843,-2.440275192
1,89,-7.354235172,-2.545938969
1,90,-7.449943542,-2.575209856
1,91,-7.550324917,-2.65191412
1,92,-7.632732868,-2.70205307
1,93,-7.674622059,-2.803304434
1,94,-7.754680157,-2.911853313
1,95,-7.847566605,-3.017321348
1,96,-7.919885159,-3.041954756
1,97,-8.006376266,-3.135428429
1,98,-8.047350883,-3.171867371
1,99,-8.142676353,-3.229779005
1,100,-8.310015678,-3.322076321
1,101,-8.395861626,-3.412007093
1,102,-8.518065453,-3.495609283
1,103,-8.619576454,-3.555894375
1,104,-8.751246452,-3.629367113
1,105,-8.807455063,-3.655537844
1,106,-8.886512756,-3.691260338
1,107,-8.98942852,-3.728103876
1,108,-9.046575546,-3.754303217
1,109,-9.07219696,-3.751455545
1,110,-9.117014885,-3.784058094
1,111,-9.150862694,-3.805544138
1,112,-9.185628891,-3.816121817
1,113,-9.231084824,-3.83177042
1,114,-9.260467529,-3.874023199
1,115,-9.266388893,-3.894999504
1,116,-9.294212341,-3.936402798
1,117,-9.332795143,-3.953880072
1,118,-9.344497681,-3.96382165
1,119,-9.372413635,-3.991905212
