subtype,sample_id,time_index,coord1,coord2
0,0,0,-3.439489603,-1.099849224
0,0,1,-3.510807753,-1.156243563
0,0,2,-3.580994368,-1.211729407
0,0,3,-3.650061607,-1.266293764
0,0,4,-3.718021631,-1.319925547
0,0,5,-3.784889221,-1.372617245
0,0,6,-3.850678921,-1.424363017
0,0,7,-3.915407658,-1.475160241
0,0,8,-3.97909236,-1.525007725
0,0,9,-4.041751862,-1.573907018
0,0,10,-4.103404522,-1.621860862
0,0,11,-4.164070606,-1.668874621
0,0,12,-4.223769665,-1.714954257
0,0,13,-4.282523632,-1.760108113
0,0,14,-4.340353489,-1.804345012
0,0,15,-4.39728117,-1.84767592
0,0,16,-4.453328609,-1.890111804
0,0,17,-4.508518696,-1.931665421
0,0,18,-4.562873363,-1.972349644
0,0,19,-4.616416454,-2.012178659
0,0,20,-4.66917038,-2.051167011
0,0,21,-4.721158981,-2.089329958
0,0,22,-4.772404671,-2.126682758
0,0,23,-4.82293129,-2.163241625
0,0,24,-4.872761726,-2.19902277
0,0,25,-4.921919346,-2.234042883
0,0,26,-4.970427036,-2.268318653
0,0,27,-5.018308163,-2.301867247
0,0,28,-5.065585613,-2.334705353
0,0,29,-5.112282276,-2.366850615
0,0,30,-5.158420086,-2.39831996
0,0,31,-5.204022408,-2.429130793
0,0,32,-5.249111176,-2.459300041
0,0,33,-5.293708801,-2.488845348
0,0,34,-5.337836742,-2.517783403
0,0,35,-5.381516457,-2.546131134
0,0,36,-5.424770355,-2.573905945
0,0,37,-5.467618465,-2.601124287
0,0,38,-5.510082722,-2.627802849
0,0,39,-5.552183151,-2.653958082
0,0,40,-5.593940258,-2.679606438
0,0,41,-5.635374546,-2.704764128
0,0,42,-5.676505089,-2.729447126
0,0,43,-5.717351913,-2.753670931
0,0,44,-5.757934093,-2.777451038
0,0,45,-5.798270702,-2.800803423
0,0,46,-5.838380337,-2.823742867
0,0,47,-5.878281116,-2.846284389
0,0,48,-5.917991161,-2.868442297
0,0,49,-5.957528114,-2.890231609
0,0,50,-5.996909142,-2.911666393
0,0,51,-6.036151409,-2.932760477
0,0,52,-6.07527113,-2.953527451
0,0,53,-6.114284992,-2.973981142
0,0,54,-6.153208733,-2.994134665
0,0,55,-6.192058086,-3.014000893
0,0,56,-6.230847359,-3.033592463
0,0,57,-6.269592762,-3.052922249
0,0,58,-6.308308125,-3.072002172
0,0,59,-6.347007275,-3.090844393
0,0,60,-6.385704041,-3.109460115
0,0,61,-6.424412251,-3.127861261
0,0,62,-6.463144302,-3.146058798
0,0,63,-6.501913071,-3.164063454
0,0,64,-6.54073,-3.181885958
0,0,65,-6.57960844,-3.1995368
0,0,66,-6.618558884,-3.217025757
0,0,67,-6.657592297,-3.234362841
0,0,68,-6.696719646,-3.25155735
0,0,69,-6.735951424,-3.268618822
0,0,70,-6.775297165,-3.285556316
0,0,71,-6.814766884,-3.302378416
0,0,72,-6.854369164,-3.319093466
0,0,73,-6.894113541,-3.335710049
0,0,74,-6.934007645,-3.352235794
0,0,75,-6.974060059,-3.36867857
0,0,76,-7.014277935,-3.385045528
0,0,77,-7.05466938,-3.401344299
0,0,78,-7.09524107,-3.417581558
0,0,79,-7.135999203,-3.433763981
0,0,80,-7.176949978,-3.449897766
0,0,81,-7.218099594,-3.465989351
0,0,82,-7.259453773,-3.482044697
0,0,83,-7.301017284,-3.498069525
0,0,84,-7.342794418,-3.51406908
0,0,85,-7.384790897,-3.530048847
0,0,86,-7.427010536,-3.546013832
0,0,87,-7.469456673,-3.561968565
0,0,88,-7.512133121,-3.577917814
0,0,89,-7.555042744,-3.593865633
0,0,90,-7.598189354,-3.609816551
0,0,91,-7.64157486,-3.625774384
0,0,92,-7.685201645,-3.641742706
0,0,93,-7.729071617,-3.657725096
0,0,94,-7.77318716,-3.673725128
0,0,95,-7.817549229,-3.689745665
0,0,96,-7.862159252,-3.705789566
0,0,97,-7.907018185,-3.721859694
0,0,98,-7.95212698,-3.737958908
0,0,99,-7.997486115,-3.754089355
0,0,100,-8.043095589,-3.77025342
0,0,101,-8.088954926,-3.786453247
0,0,102,-8.135065079,-3.802690744
0,0,103,-8.181425095,-3.818967819
0,0,104,-8.228034973,-3.835285902
0,0,105,-8.274892807,-3.851646662
0,0,106,-8.321998596,-3.868051529
0,0,107,-8.369351387,-3.884501934
0,0,108,-8.416949272,-3.900998831
0,0,109,-8.464791298,-3.917542934
0,0,110,-8.512876511,-3.934135675
0,0,111,-8.561202049,-3.950777769
0,0,112,-8.60976696,-3.967469931
0,0,113,-8.658568382,-3.984212399
0,0,114,-8.707605362,-4.001006126
0,0,115,-8.756875038,-4.017851353
0,0,116,-8.806375504,-4.034748554
0,0,117,-8.856103897,-4.051697731
0,0,118,-8.906058311,-4.06869936
0,0,119,-8.956235886,-4.085753441
0,1,0,-3.366537333,-1.185874224
0,1,1,-3.438680172,-1.241992474
0,1,2,-3.509680748,-1.297183037
0,1,3,-3.579550505,-1.351433635
0,1,4,-3.648300886,-1.404733658
0,1,5,-3.715945959,-1.45707643
0,1,6,-3.78249979,-1.508456588
0,1,7,-3.847979069,-1.558872342
0,1,8,-3.912400246,-1.608323097
0,1,9,-3.975781679,-1.656811357
0,1,10,-4.038141727,-1.704340577
0,1,11,-4.099501133,-1.750916719
0,1,12,-4.159879208,-1.796546698
0,1,13,-4.219297409,-1.841239691
0,1,14,-4.277777195,-1.885005236
0,1,15,-4.3353405,-1.927854896
0,1,16,-4.392009735,-1.969800472
0,1,17,-4.447807789,-2.010855436
0,1,18,-4.502757072,-2.051033497
0,1,19,-4.556881428,-2.090349674
0,1,20,-4.610203743,-2.12881875
0,1,21,-4.66274786,-2.166456938
0,1,22,-4.714536667,-2.20328021
0,1,23,-4.765594482,-2.239305258
0,1,24,-4.815944672,-2.274549007
0,1,25,-4.8656106,-2.309028625
0,1,26,-4.914615631,-2.342761278
0,1,27,-4.962984085,-2.375764847
0,1,28,-5.010738373,-2.408056736
0,1,29,-5.057902336,-2.439654827
0,1,30,-5.104498386,-2.470576525
0,1,31,-5.150549412,-2.50083971
0,1,32,-5.1960783,-2.530461788
0,1,33,-5.241107464,-2.55946064
0,1,34,-5.285659313,-2.58785367
0,1,35,-5.329755306,-2.615658045
0,1,36,-5.373417854,-2.642891407
0,1,37,-5.416668415,-2.669570684
0,1,38,-5.459527969,-2.695713043
0,1,39,-5.502017498,-2.721335173
0,1,40,-5.544157982,-2.746453762
