task_id,subtype,source_bin,target_bin,method,true_global_mean,pred_global_mean,energy_distance_roi,mmd_rbf_roi,sliced_wasserstein_roi
s0:0->1,0,0,1,persistence,1.169272423,1.053745508,1.764967593,0.2443918712,0.2977897591
s0:0->1,0,0,1,roi_linear,1.169272423,1.169272423,0.03660721898,0.004924571256,0.0461088535
s0:0->1,0,0,1,latent_linear,1.169272423,1.169772625,0.2177184685,0.05496199864,0.1102623333
s0:0->1,0,0,1,model,1.169272423,1.159178376,0.1850671501,0.02757858127,0.09446832759
s0:1->2,0,1,2,persistence,1.273319721,1.169272423,1.589364391,0.1896251905,0.2653559366
s0:1->2,0,1,2,roi_linear,1.273319721,1.273319721,0.1742659128,0.02604968854,0.1141459883
s0:1->2,0,1,2,latent_linear,1.273319721,1.262048125,0.2361440369,0.03215845506,0.1285989604
s0:1->2,0,1,2,model,1.273319721,1.274879098,0.08628296597,0.005222642614,0.07788915662
s0:2->3,0,2,3,persistence,1.447915077,1.273319721,2.037142972,0.1436584434,0.4585161479
s0:2->3,0,2,3,roi_linear,1.447915077,1.447915077,0.4505678331,0.03461608877,0.2385832852
s0:2->3,0,2,3,latent_linear,1.447915077,1.431255817,0.301437196,0.01459313971,0.199402217
s0:2->3,0,2,3,model,1.447915077,1.45083642,0.1863372687,0.008154928945,0.1435572513
s0:3->4,0,3,4,persistence,1.906870484,1.447915077,7.978026734,0.3053922043,1.084378405
s0:3->4,0,3,4,roi_linear,1.906870484,1.906870484,1.800688748,0.1107956753,0.6117112429
s0:3->4,0,3,4,latent_linear,1.906870484,1.885140181,0.614361641,0.0215852107,0.3636385636
s0:3->4,0,3,4,model,1.906870484,1.994065404,0.7497938321,0.01860350935,0.4134929085
s1:0->1,1,0,1,persistence,1.207601309,1.107920408,1.407359405,0.2241600346,0.2250525148
s1:0->1,1,0,1,roi_linear,1.207601309,1.207601428,0.02777035204,0.00439554773,0.03766516535
s1:0->1,1,0,1,latent_linear,1.207601309,1.205025911,0.1418685414,0.03657109818,0.08480603584
s1:0->1,1,0,1,model,1.207601309,1.213598371,0.129186851,0.02585735408,0.07579789568
s1:1->2,1,1,2,persistence,1.282619715,1.207601309,0.7929948563,0.1137642632,0.182885045
s1:1->2,1,1,2,roi_linear,1.282619715,1.282619596,0.06160076251,0.009386133285,0.06003285851
s1:1->2,1,1,2,latent_linear,1.282619715,1.279390693,0.1008807347,0.01551828138,0.077746927
s1:1->2,1,1,2,model,1.282619715,1.284924746,0.04463319515,0.004198757832,0.05041883205
s1:2->3,1,2,3,persistence,1.455916047,1.282619715,2.370078031,0.202601103,0.4961397616
s1:2->3,1,2,3,roi_linear,1.455916047,1.455915809,0.8233774672,0.1033571551,0.3324117424
s1:2->3,1,2,3,latent_linear,1.455916047,1.427505136,0.3312973744,0.02368257105,0.2043999877
s1:2->3,1,2,3,model,1.455916047,1.469862103,0.1253527391,0.004925028038,0.1372909062
s1:3->4,1,3,4,persistence,2.271934271,1.455916047,12.48720159,0.3194876773,1.97665687
s1:3->4,1,3,4,roi_linear,2.271934271,2.271934748,3.739687654,0.1551484443,1.201699448
s1:3->4,1,3,4,latent_linear,2.271934271,2.13643837,0.9940880976,0.02658581786,0.6663962692
s1:3->4,1,3,4,model,2.271934271,2.115499496,0.642941795,0.01168132781,0.5384570811
s0:0->1,0,0,1,mmfm,1.169272423,1.169134974,0.1488112273,0.01645216996,0.09603883658
s0:0->1,0,0,1,vgfm,1.169272423,1.150580764,0.1542716662,0.02074097797,0.08524335545
s0:1->2,0,1,2,mmfm,1.273319721,1.276983976,0.08571207093,0.004538281941,0.07948335143
s0:1->2,0,1,2,vgfm,1.273319721,1.246743798,0.2236163518,0.0216959933,0.1141098733
s0:2->3,0,2,3,mmfm,1.447915077,1.445208192,0.1893677549,0.007607079362,0.1543164689
s0:2->3,0,2,3,vgfm,1.447915077,1.38877821,0.6065919459,0.04093352014,0.2632730887
s0:3->4,0,3,4,mmfm,1.906870484,1.900699377,0.344328891,0.007561209963,0.2559076747
s0:3->4,0,3,4,vgfm,1.906870484,1.848082542,0.9605898917,0.03146052744,0.3926027423
s1:0->1,1,0,1,mmfm,1.207601309,1.220165968,0.1216553897,0.02104102209,0.07162034626
s1:0->1,1,0,1,vgfm,1.207601309,1.216595531,0.09022568206,0.01374130117,0.05969306181
s1:1->2,1,1,2,mmfm,1.282619715,1.289346099,0.0444929286,0.003912844341,0.05074259314
s1:1->2,1,1,2,vgfm,1.282619715,1.279040337,0.06303462725,0.006456000557,0.06112134184
s1:2->3,1,2,3,mmfm,1.455916047,1.481630087,0.1305741945,0.005305229981,0.1385294863
s1:2->3,1,2,3,vgfm,1.455916047,1.440694571,0.4130022837,0.02594465583,0.2173387418
s1:3->4,1,3,4,mmfm,2.271934271,2.292270184,0.368858213,0.007257418013,0.3630944741
s1:3->4,1,3,4,vgfm,2.271934271,2.034109592,1.420059201,0.03133722178,0.7689033188
