umap1,umap2,dynamics_bin,stage_label
-3.22238,0.6959167,1,S1-2
-6.133173,0.1621407,1,S1-2
-2.2060165,-2.1718621,1,S1-2
3.6166835,1.1384288,0,S0
2.5911164,1.440139,0,S0
0.2909629,1.0200163,0,S0
-2.0422726,-1.6820848,0,S0
-1.7609373,2.025079,0,S0
-1.9737041,2.0853453,0,S0
-2.449284,-1.032634,0,S0
-2.7460153,0.8555209,0,S0
3.4347146,1.7556324,0,S0
1.3234668,2.8715062,0,S0
-1.4450657,1.5011601,0,S0
2.8153243,1.5667304,0,S0
3.0545902,1.4623942,0,S0
-0.07915889,1.8751584,0,S0
0.15841259,1.5899789,0,S0
0.09226329,2.5952902,0,S0
-4.7637787,-2.1302786,1,S1-2
-6.1265264,-2.7138681,2,S3-6
3.5828378,0.5914326,0,S0
-8.82131,-3.0223093,3,S7-15
-8.757088,-2.842143,3,S7-15
-8.822465,-3.0266743,4,S16-20
-9.026064,-3.112494,4,S16-20
-5.4759283,-2.5990996,2,S3-6
-6.046072,-2.7401483,2,S3-6
-5.887308,-2.8364282,2,S3-6
-7.924077,-4.0321984,3,S7-15
-1.3607432,1.7733408,0,S0
2.5938761,1.9336194,0,S0
3.5096855,0.562723,1,S1-2
-1.6666741,1.0402898,0,S0
-4.9659066,-1.591318,2,S3-6
-7.5023813,-3.9305627,3,S7-15
1.8989862,1.8505602,0,S0
-8.870388,-3.394081,3,S7-15
-8.926541,-3.434743,4,S16-20
-9.323341,-3.7055206,4,S16-20
3.6210997,1.686617,0,S0
3.0975544,1.9703479,0,S0
-5.2554336,-1.5691489,1,S1-2
-5.294824,-1.6232747,1,S1-2
-5.5195365,-1.762077,1,S1-2
0.38812223,1.1112516,0,S0
3.1170247,2.1294832,0,S0
-0.24049206,1.6188815,0,S0
-6.199157,0.3821513,1,S1-2
-6.36082,0.41437474,2,S3-6
-5.1958556,0.51930004,1,S1-2
-5.114044,-0.21712628,1,S1-2
-5.621422,-0.9341474,1,S1-2
-5.0142236,-1.0453876,0,S0
-6.5951743,-1.6016138,0,S0
1.5023348,2.2262466,0,S0
-2.2030206,1.0396018,0,S0
0.31260267,0.062068533,0,S0
-2.1258254,0.9790308,0,S0
0.9443001,0.053887293,0,S0
3.385519,0.65798783,0,S0
1.5305656,0.85776967,0,S0
-6.3961563,-0.44317535,1,S1-2
-5.698678,-0.5977247,1,S1-2
-5.033669,0.60289794,1,S1-2
-1.1575269,1.3895317,0,S0
0.55715865,2.569139,0,S0
-2.4423928,2.4835749,0,S0
3.5472064,1.3914849,0,S0
-0.63306314,3.314983,0,S0
-0.5940447,3.3858063,0,S0
-2.4917545,0.05882241,0,S0
-1.0592889,2.3745685,0,S0
-6.1485934,-3.466046,2,S3-6
-7.63685,-3.3135707,3,S7-15
-6.955137,-3.2201002,3,S7-15
0.5690677,-0.16537054,0,S0
1.724442,0.95883995,0,S0
0.47821203,0.5112047,0,S0
-0.024408434,3.0823834,0,S0
-3.0390525,2.5254078,0,S0
-2.7560165,2.8211758,0,S0
2.9982917,2.361156,0,S0
-2.0868702,0.048616897,0,S0
-2.3406918,0.13511011,0,S0
-4.841557,-0.71874315,1,S1-2
-5.7922482,0.11604219,1,S1-2
-0.05945101,2.1389582,0,S0
-0.16172585,1.9661332,0,S0
0.5219769,2.4982271,0,S0
-2.1709917,1.4746245,0,S0
-0.61351496,2.306635,0,S0
-0.74287945,2.0399067,0,S0
-6.313519,-0.13591637,1,S1-2
-2.7215724,2.2368662,0,S0
2.3215911,0.88834435,0,S0
2.3797367,0.9049396,0,S0
2.130999,0.79576135,0,S0
-1.3879223,-0.32942832,0,S0
0.0843705,1.4532356,0,S0
3.6987207,0.98067015,0,S0
4.250097,1.7106315,0,S0
-8.040975,-4.8155785,3,S7-15
-8.662376,-5.117323,4,S16-20
-8.83908,-5.1834292,4,S16-20
3.5555112,0.8323975,0,S0
-2.3520484,-0.59035474,1,S1-2
-2.2027924,0.7251802,0,S0
-2.540234,0.5220947,0,S0
0.8471743,0.70387423,0,S0
2.910742,0.72643334,0,S0
-2.1557803,2.4540865,0,S0
-2.0148625,0.94406486,0,S0
-5.0831065,-0.69319654,1,S1-2
-1.7237065,-0.5976959,0,S0
-3.7305067,-0.50733405,1,S1-2
-2.668924,-1.0320858,1,S1-2
-0.46740702,2.290563,0,S0
0.93538624,2.7400784,0,S0
-0.11336994,2.588661,0,S0
-6.386662,-2.0250397,2,S3-6
-5.3231,-1.7944108,1,S1-2
-7.3861194,-3.8636951,4,S16-20
-7.99757,-3.8271873,4,S16-20
-7.9239683,-3.8047092,4,S16-20
-1.7989525,2.3738086,0,S0
-2.3706222,2.3006194,0,S0
-5.351827,0.689626,2,S3-6
2.633719,0.9854514,0,S0
-6.328799,-0.15689145,1,S1-2
-2.0312495,0.71245766,0,S0
-2.6968136,1.668708,0,S0
-7.4602485,-2.1112323,2,S3-6
3.2965937,1.7739078,0,S0
1.6988213,0.601279,0,S0
2.8341265,2.1327279,0,S0
-3.723963,0.89808494,0,S0
-6.3626323,-3.6915426,3,S7-15
-2.7721407,0.3577347,0,S0
-1.4406075,-0.3052252,0,S0
1.4753631,2.928435,0,S0
-3.8983397,1.7496192,0,S0
-4.1177297,1.5926528,0,S0
1.2906193,1.4529109,0,S0
-3.9698331,1.2155372,0,S0
-3.7161365,1.562792,0,S0
1.5084952,2.8369474,0,S0
1.5020516,2.878383,0,S0
2.118483,1.077591,0,S0
1.4370216,0.8136398,0,S0
2.04994,0.7305429,0,S0
2.2384121,0.05037818,0,S0
1.1824033,1.0624601,0,S0
-3.0965748,1.9424663,0,S0
-7.924055,-3.9313314,3,S7-15
0.94673705,2.3489554,0,S0
-4.3636293,0.3699255,0,S0
1.0954078,0.9267649,0,S0
-3.209485,0.42304093,0,S0
0.19889954,0.6194575,0,S0
-0.9235388,1.1443869,0,S0
1.0890971,1.0439111,0,S0
