map_name,subtype_label,stage,n_samples,CTX_LH_BANKSSTS_SUVR,CTX_LH_CAUDALANTERIORCINGULATE_SUVR,CTX_LH_CAUDALMIDDLEFRONTAL_SUVR,CTX_LH_CUNEUS_SUVR,CTX_LH_ENTORHINAL_SUVR,CTX_LH_FUSIFORM_SUVR,CTX_LH_INFERIORPARIETAL_SUVR,CTX_LH_INFERIORTEMPORAL_SUVR,CTX_LH_ISTHMUSCINGULATE_SUVR,CTX_LH_LATERALOCCIPITAL_SUVR,CTX_LH_LATERALORBITOFRONTAL_SUVR,CTX_LH_LINGUAL_SUVR,CTX_LH_MEDIALORBITOFRONTAL_SUVR,CTX_LH_MIDDLETEMPORAL_SUVR,CTX_LH_PARAHIPPOCAMPAL_SUVR,CTX_LH_PARACENTRAL_SUVR,CTX_LH_PARSOPERCULARIS_SUVR,CTX_LH_PARSORBITALIS_SUVR,CTX_LH_PARSTRIANGULARIS_SUVR,CTX_LH_PERICALCARINE_SUVR,CTX_LH_POSTCENTRAL_SUVR,CTX_LH_POSTERIORCINGULATE_SUVR,CTX_LH_PRECENTRAL_SUVR,CTX_LH_PRECUNEUS_SUVR,CTX_LH_ROSTRALANTERIORCINGULATE_SUVR,CTX_LH_ROSTRALMIDDLEFRONTAL_SUVR,CTX_LH_SUPERIORFRONTAL_SUVR,CTX_LH_SUPERIORPARIETAL_SUVR,CTX_LH_SUPERIORTEMPORAL_SUVR,CTX_LH_SUPRAMARGINAL_SUVR,CTX_LH_FRONTALPOLE_SUVR,CTX_LH_TEMPORALPOLE_SUVR,CTX_LH_TRANSVERSETEMPORAL_SUVR,CTX_LH_INSULA_SUVR
common_stage0,common,0.0,1138,1.081108963093146,0.9755878734622142,1.0899411247803164,0.9965931458699472,1.1551662269129288,1.1415114235500878,1.1250799648506151,1.2525492091388402,1.0248031634446395,1.1395263620386642,1.1007126537785588,1.031939367311072,1.057,1.1732882249560632,1.0865013192612138,1.0519472759226711,1.0948101933216168,1.1708216168717047,1.1107056239015818,0.8909428822495606,1.0222144112478029,1.0170395430579966,1.0158690685413003,1.0674657293497365,0.9907170474516696,1.0993198594024602,1.0819657293497364,1.080158172231986,1.090969244288225,1.1153040421792615,1.1790861159929702,1.107153913808267,0.9188884007029876,1.0584077328646748
subtype1_stage1,subtype1,1.0,117,1.1599316239316235,1.0299145299145298,1.1608888888888889,1.0277863247863248,1.483094017094017,1.2548632478632478,1.2007863247863246,1.3868034188034188,1.123136752136752,1.199905982905983,1.1863076923076925,1.0865384615384617,1.1481880341880342,1.2755555555555556,1.2916581196581196,1.0978034188034187,1.156581196581197,1.2503076923076926,1.1821282051282052,0.9005897435897436,1.0502136752136753,1.0816666666666668,1.0493333333333332,1.1440427350427351,1.0557179487179489,1.1765641025641027,1.1465555555555556,1.1209743589743593,1.1667606837606834,1.184760683760684,1.2252393162393165,1.2267692307692308,0.9333675213675214,1.1473589743589745
subtype1_stage2,subtype1,2.0,76,1.210671052631579,1.0367236842105263,1.1680263157894737,1.0350394736842103,1.884157894736842,1.3123552631578943,1.2363421052631578,1.4603026315789474,1.1655921052631577,1.2153421052631574,1.1951973684210524,1.107842105263158,1.1790131578947367,1.3385657894736842,1.445342105263158,1.0774736842105264,1.1580526315789474,1.2344736842105264,1.1732894736842103,0.8992894736842105,1.0580394736842105,1.100657894736842,1.0535131578947368,1.1483552631578948,1.055105263157895,1.1828552631578948,1.1566184210526314,1.1347894736842103,1.195171052631579,1.2012236842105264,1.2564736842105266,1.361013157894737,0.9244210526315788,1.1833289473684212
subtype1_stage3,subtype1,3.0,6,1.1641666666666668,1.0298333333333332,1.1195,0.9903333333333334,2.3158333333333334,1.2796666666666667,1.276166666666667,1.4551666666666667,1.344,1.213,1.1371666666666669,1.0661666666666665,1.1731666666666667,1.332833333333333,1.6213333333333333,0.9863333333333334,1.1306666666666667,1.1488333333333334,1.1478333333333337,0.9025,1.0523333333333331,1.2406666666666666,1.0178333333333334,1.2234999999999998,1.084666666666667,1.2383333333333333,1.156,1.1126666666666667,1.1761666666666668,1.2403333333333333,1.3390000000000002,1.4556666666666669,0.8758333333333334,1.1765
subtype1_stage4,subtype1,4.0,19,1.2679473684210525,1.076684210526316,1.185578947368421,1.0442105263157897,2.258368421052632,1.4044736842105263,1.3248947368421051,1.6135263157894737,1.3621578947368422,1.2420526315789473,1.2813157894736842,1.158157894736842,1.259,1.433315789473684,1.6528421052631577,1.0816842105263158,1.1875263157894738,1.2848421052631578,1.2272631578947368,0.9463684210526316,1.041736842105263,1.2568947368421053,1.0309473684210526,1.2750526315789472,1.104684210526316,1.2368947368421053,1.1864736842105263,1.1565263157894738,1.2492631578947366,1.2583157894736845,1.2427368421052631,1.5301578947368422,0.922578947368421,1.2604736842105264
subtype1_stage5,subtype1,5.0,20,1.3373,1.0712500000000005,1.299,1.10935,2.1094,1.53985,1.4301,1.77455,1.3935,1.3087000000000002,1.26545,1.19125,1.23965,1.5609000000000002,1.71695,1.13605,1.23725,1.2899999999999998,1.2506499999999998,0.9319500000000002,1.1188,1.22155,1.11395,1.2797,1.0928999999999998,1.2513,1.22995,1.2444499999999998,1.2991500000000002,1.3004000000000002,1.2675,1.4906,0.9669000000000002,1.24975
subtype1_stage6,subtype1,6.0,9,1.3012222222222225,1.0353333333333332,1.2141111111111114,0.9905555555555556,1.908,1.4964444444444445,1.321777777777778,1.6914444444444443,1.2990000000000002,1.1828888888888889,1.282111111111111,1.0698888888888891,1.1847777777777777,1.463,1.6075555555555556,0.9728888888888888,1.1694444444444445,1.3725555555555555,1.2275555555555555,0.8376666666666667,1.0769999999999995,1.161888888888889,1.0873333333333333,1.144777777777778,1.0675555555555554,1.1802222222222225,1.1700000000000002,1.1764444444444446,1.2597777777777777,1.257111111111111,1.1524444444444444,1.5505555555555557,0.9147777777777778,1.1933333333333334
subtype1_stage7,subtype1,7.0,15,1.4948,0.9950666666666668,1.3198,1.128,2.055066666666667,1.6096666666666668,1.4847333333333332,1.9244,1.3299999999999998,1.292,1.2623333333333335,1.1359333333333337,1.2381333333333335,1.7207333333333332,1.6317333333333337,1.0768,1.2372666666666663,1.3030666666666668,1.203466666666667,0.9206,1.0712,1.2500666666666669,1.0834666666666666,1.2873333333333332,1.0795333333333332,1.2404666666666668,1.2453333333333334,1.2220666666666666,1.3872666666666666,1.356,1.2206,1.6326666666666667,0.9874,1.2629333333333332
subtype1_stage8,subtype1,8.0,6,1.466,1.1015,1.5520000000000005,1.163,2.2583333333333337,1.9325,1.4260000000000002,2.3543333333333334,1.4508333333333334,1.3786666666666667,1.336166666666667,1.6073333333333333,1.2956666666666667,2.1326666666666667,1.9725,1.149333333333333,1.3283333333333334,1.2736666666666665,1.24,1.109,1.088,1.3031666666666666,1.1233333333333333,1.2936666666666667,1.1291666666666669,1.287,1.3116666666666663,1.2083333333333333,1.455,1.3766666666666667,1.319,1.967833333333333,0.9558333333333332,1.3496666666666668
subtype1_stage9,subtype1,9.0,12,2.110583333333333,1.0826666666666669,1.4329166666666664,1.038,2.14875,1.9700833333333327,1.869916666666667,2.4251666666666667,1.6344166666666669,1.3644999999999998,1.321583333333333,1.223833333333333,1.3075,2.1184166666666666,1.8908333333333327,1.075416666666667,1.2767499999999998,1.3141666666666667,1.241,0.922,1.0463333333333331,1.3804166666666668,1.0855833333333331,1.4454166666666666,1.1815833333333332,1.2695,1.2879166666666666,1.2614166666666669,1.55225,1.57175,1.2668333333333333,1.7409166666666671,0.9050833333333332,1.3163333333333334
